I have a headache.	Masakit ulo ko.
American botanist Asa Gray also exhibited both interests and on 5 September 1857, Darwin sent Gray a detailed framework of his ideas including the abstract of Natural Selection.	Ang Amerikanong botanistang si Asa Gray ay nagpakita rin ng parehong mga interest at noong 5 Setyembre 1857, pinadalhan ni Darwin si Gray ng isang detalyadong balangkas ng kanyang mga ideya kabilang ang abstrakto ng Natural Selection.
In December, Darwin received a letter from Wallace asking whether the book will investigate human origins.	Noong Disyembre, si Darwin ay tumanggap ng isang liham mula kay Wallace na nagtatanong kung ang aklat ay magsisiyasat ng mga pinagmulan ng tao.
He responded that he avoided the subject "preoccupied with excessive prejudices" while Wallace encouraged him to ascertain and added "I will go above you".	Siya ay tumugon na kanyang iiwasan ang paksa na "labis na napapalibutan ng mga prehudisyo" samantalang hinihikayat si Wallace sa pagteteorisa at nagdagdag na "Ako ay tutungo ng higit sa iyo".
The book of Dawin is a part only written on June 18, 1858, he received a paper from Wallace describing the natural selection.	Ang aklat ni Dawin ay isang bahagi lamang naisulat nang noong 18 Hunyo 1858, siya ay nakatanggap ng isang papel mula kay Wallace na naglalarawan ng natural na seleksiyon.
At the time he was delayed, Dawin sent that day to Lyell as Wallace asked, and although Wallace did not ask for printing, Darwin suggested that he send it to any hornal chosen by Wallace.	Sa pagkabiglas na siya ay naantala, ipinadala ito ni Dawin noong araw na iyon kay Lyell gaya ng hiniling ni Wallace , at bagaman hindi humingi si Wallace para sa paglilimbag, si Darwin ay nagmungkahi na ipapapadala niya ito sa anumang hornal na pinili ni Wallace.
Her family is in crisis that the barrio's children die in scarlet fever and put the matter in the hands of Lyell and Hooker.	Ang kanyang pamilya ay nasa krisis na ang mga anak sa barrio ay namamatay sa scarlet fever at kanyang inilagay ang mga materya sa kamay nina Lyell at Hooker.
After several discussions, they decided on a joint presentation at the Linnean Society on July 1 of the On the Tendency of Species to form Varieties; and on the Perpetuation of Varieties and Species by Natural Means of Selection.	Pagkatapos ng ilang diskusyon, sila ay nagpasya sa isang pinagsamang presentasyon sa Linnean Society sa Hulyo 1 ng On the Tendency of Species to form Varieties; and on the Perpetuation of Varieties and Species by Natural Means of Selection.
However, Darwin's son was killed in scarlet fever and he was too frightened to attend it.	Gayunpaman, ang anak na sanggol na lalake ni Darwin ay namatay sa scarlet fever (lagnat) at siya ay labis na nasiphayo upang makadalo dito.
There is a slight fast atention in the revelation of this theory.	May kaunting mabilis na atention sa paghahayag ng teoriyang ito.
The president of the Linnean Society marks in May 1859 that the year was not marked by any revolutionary discoveries.	Ang presidente ng Linnean Society ay nagmarka noong Mayo 1859 na ang taon ay hindi minarkahan ng anumang rebolusyonaryong mga pagkakatuklas.
Only one review had enough to shave Darwin to remember it later.	Isa lamang review ang sapat na uminis kay Darwin upang maalala ito kalaunan.
Professor Samuel Haughton of Dublin claims "all that is new to them is not true and the truth is old."	Si propesor Samuel Haughton ng Dublin ay nag-angking "ang lahat ng bago sa kanila ay hindi totoo at ang totoo ay luma."
Darwin suffered for thirteen months to form the abstract of his "fountain" which is suffering from pain but is getting persistent encouragement from his scientific friends.	Si Darwin ay naghirap sa loob ng labingtatlong buwan upang bumuo ng abstrakto ng kanyang "malaking aklat" na dumadanas ng sakit ngunit kumukuha ng patuloy na paghihikayat mula sa kanyang mga kaibigang siyentipiko.
Lyell supervised to print it by John Murray.	Pinangasiwaan ni Lyell na ilimbag ito ni John Murray.
On the Origin of Species has proved unexpectedly shining the entire supply of 1,250 copies was extremely purchased when it was sold on November 22, 1859.	Ang On the Origin of Species(Tungkol sa Pinagmulan ng Espesye) ay napatunayang hindi inaasahang sumikat na ang buong suplay ng 1,250 kopya ay labis na binili nang ito ay ibenta noong 22 Nobyembre 1859.
In this book, Darwin laid "a long argument" of detailed observations, conjectures, and concerns for anticipated resistance.	Sa aklat na ito, inilatag ni Darwin ang "isang mahabang argumento" ng mga detalyadong obserbasyon, paghihinuha, at pagsasaalang alang mga inaasahang pagtutol.
His only allusion to human evolution is that "the light will be thrown in (or given light) the origin and the person and his history", His theory is simply stated in the introduction:.	Ang kanyang tanging alusyon sa ebolusyon ng tao ang pangungunsap na "ang liwanag ay ihahagis sa (o bibigyan ng liwanag ang) pinagmulan at tao at ng kanyang kasaysayan", Ang kanyang teoriyang ay simpleng nakasaad sa introduksiyon:.
As many more individuals of each species are born than can possibly survive; and as, consequently, there is a frequently recurring struggle for existence, it follows that any being, if it vary however slightly in any manner profitable to itself, under the complex and sometimes varying conditions of life, will have a better chance of surviving, and thus be naturally selected.	As many more individuals of each species are born than can possibly survive; and as, consequently, there is a frequently recurring struggle for existence, it follows that any being, if it vary however slightly in any manner profitable to itself, under the complex and sometimes varying conditions of life, will have a better chance of surviving, and thus be naturally selected.
From the strong principle of inheritance, any selected variety will tend to propagate its new and modified form.	From the strong principle of inheritance, any selected variety will tend to propagate its new and modified form.
While many individuals of every species are born possible to proceed; and as a result, there is often a repeated struggle for existence, following any entity, if it changes however a little in any way to profit itself, under the complex and once changing conditions of life, there is more good chance of continuity and is naturally chosen.	Habang maraming mga indibidwal ng bawat espesye ay ipinapanganak na posibleng magpatuloy; at bilang resulta, may kadalasang paulit ulit na pakikipaglaban para sa eksistensiya, sumusunod na anumang nilalang, kung ito ay magbago gayunpaman ng kaunti sa anumang paraan ng mapapakinabangan sa sarili nito, sa ilalim ng masalimuot at minsang nagbabagong mga kondisyon ng buhay, ay may mas mabuting tsansa ng pagpapatuloy at kaya ay natural na napili.
From a strong hereditary principle, any chosen type has the ability to propagate a new and modified form.	Mula sa malakas na prinsipyo ng pagmamana, anumang napiling uri ay may kagawiang magpalaganap ng bago at binago nitong anyo.
He puts a strong case for common descent, temporarily avoiding this time of the controversial term "evolution".	Siya ay naglagay ng isang malakas na kaso para sa karaniwang pinagmulan (common descent), nugnit iniwasan ang sa panahong ito na kontrobersiyal na terminong "ebolusyon".
At the end of the book, he gave a conclusion:.	Sa huli ng aklat, siya ay nagbigay ng konklusyon na:.
There is grandeur in this view of life, with its several powers, having been originally breathed into a few forms or into one; and that, whilst this planet has gone cycling on according to the fixed law of gravity, from so simple a beginning endless forms most beautiful and most wonderful have been, and are being, evolved.	There is grandeur in this view of life, with its several powers, having been originally breathed into a few forms or into one; and that, whilst this planet has gone cycling on according to the fixed law of gravity, from so simple a beginning endless forms most beautiful and most wonderful have been, and are being, evolved.
There is greatness in this life's perspective, in some of its powers, originally embedded in some form or another; and, although this planet has been subject to speed according to the fixed law of gravity, from simple, beginnings of eternal forms that are most beautiful and most impressive are evolving and revolving.	May kadakilaan sa pananaw na ito ng buhay, sa ilang mga kapangyarihan nito, na orihinal na hiningahan sa ilang mga anyo o sa isa; at, bagaman ang planetang ito ay dumanas ng pagsisiklo ayon sa nakapirmeng batas ng grabidad, mula sa simple, ang nagsisimulang walang hanggangng mga anyo na pinakamaganda at pinaka kahanga hanga ay nag-ebolb at nag-eebolb.
Responses to its publication This book has inspired international interest with little controversy than to celebrate the famous Vestiges of the Natural History of Creation.	Mga tugon sa pagkakalimbag nito Ang aklat na ito ay pumukaw ng internasyonal na interest na may kaunting kontrobersiya kesa sa bumati sa sikat na Vestiges of the Natural History of Creation.
Although Darwin's illness prevented him from public debates, he was eager to inquire about the scientist's response, commenting on newspaper passages, articles, mockery, cartoons and responding to it with his colleagues around the world .	Bagaman ang sakit ni Darwin ang pumigil sa kanya mula sa mga publikong debate, kanyang sabik na inusisa ang tugong siyentipiko, na nagkokomento sa mga sipi ng diyaryo, mga artikulo, mga panunuya, mga karikatura at at tumugon dito kasama ng kanyang kasama sa buong mundo.
Darwin had only said "Light will be thrown on the origin of man", but the first review claimed it made a creed of the "men from monkeys" idea from Vestiges.	Darwin had only said "Light will be thrown on the origin of man", but the first review claimed it made a creed of the "men from monkeys" idea from Vestiges.
Among the start of the favorable response, Huxley's reviews hit Richard Owen, head of the scientific institute that Huxley tried to overthrow.	Kabilang sa mga simulang pumpabor na tugon, ang mga review ni Huxley ay bumatikos kay Richard Owen na pinuno ng establisyementong siyentipiko na sinubukan ni Huxley pabagsakin.
In April, Owen's review struck Darwin's friends and arrogantly rejected his ideas that had fallen into Darwin, but Owen and others began to promote ideas led by supernatural evolution.	Noong Abril, ang review ni Owen ay umatake sa mga kaibigan ni Darwin at aroganteng itinakwil ang kanyang mga ideya na gumalit kay Darwin, ngunit si Owen at ang iba ay nagsimulang magtaguyod ng mga ideya ng ginabayan ng supernatural na ebolusyon.
The response of the Church of England is mixed.	Ang tugon ng Simbahan ng Inglatera (Church of England) ay halo.
Darwin's former Cambridge tutors Sedgwick and Henslow abandoned these ideas forcing liberal priests to interpret the natural selection as the instrument of the god design that it saw by the priest Charles Kingsley as "like the great concept of god".	Ang mga dating tutor ni Darwin sa Cambridge na sina Sedgwick at Henslow ay tumakwil sa mga ideya na ito nugnit ang mga liberal na pari ay binigyan ng kahulugan ang natural na seleksiyon bilang instrumento ng disenyo ng diyos na nakita ng ito ng paring si Charles Kingsley bilang "tulad ng dakila na konsepsiyon ng diyos".
In 1860, the publication of the Essays and Reviews of the seven liberal Anglican theologians deflected the attention of priests from Darwin whose ideas including high criticism were attacked by church authorities as heresy.	Noong 1860, ang publikasyon ng Essays and Reviews ng pitong mga liberal na Anglikanong teologo ang nagpalihis ng atensiyon ng mga pari mula kay Darwin na ang ideya nito kabilang ang mataas na kritisismo (higher criticism) ay inatake ng mga autoridad ng simbahan bilang heresiya.
Here, Baden Powell argues that miracles harm the laws of god, so their belief is atheistiki and praises the "great support of Mr. Darwin [who supports]; in the great principle of self-governing powers of nature ".	Dito, ikinatwiran ni Baden Powell na ang himala ay sumira sa mga batas ng diyos, kaya ang paniniwala sa mga ito ay ateistiki at pinuri ang "dakilang bolsiyum ni Ginoong Darwin [na sumusuporta]; sa dakilang prinsipyo ng sariling nag-eebolb na mga kapangyarihan ng kalikasan".
Asa Gray discussed teleology with Darwin to raise and distribute the pamphlet of Gray on the theological evolution that "natural selection is not inconsistent with natural theology".	Tinalakay ni Asa Gray ang teleolohiya kasama si Darwin na umangkat at namahagi ng pampleto ni Gray tungkol sa teistikong ebolusyon na "ang natural seleksiyon ay hindi inkonsistente sa natural na teolohiya".
The most prominent conspiracy was the public debate about Oxford's evolution in 1860 as the Association for the Advancement of Science took place, where Oxford bishop Samuel Wilberforce, though not opposing the species transmutation reasoned against the explanation Darwin and human beings from the apes.	Ang pinaka kilalang konprontasyon ang publikong debate tungkol sa ebolusyon sa Oxford noong 1860 habang nangyayari ang pagpupuplong ng Association for the Advancement of Science, kung saan ang obispo ng Oxford na si Samuel Wilberforce, bagaman hindi tumututol sa transmutason ng espesye ay nangatwiran laban sa paliwanag ni Darwin at pagmumula ng tao mula sa mga ape.
Joseph Hooker had strongly reasoned for Darwin and Thomas Huxley's legendary answer that he was better off of an ape than a man who did not use his gifts correctly, became the symbol of science's victory over religion. '.	Si Joseph Hooker ay malakas na nangatwiran para kay Darwin at ang maalamat na sagot ni Thomas Huxley na siya ay mas mabuting galing sa isang ape kesa sa isang tao na hindi ginamit ng tama ang kanyang mga kaloob, ang naging simbolo ng pagtatagumpay ng agham laban sa relihiyon.'.
Even Darwin's close friends, Gray, Hooker, Huxley and Lyell still expressed a variety of reservations but provided strong support such as the other primarily younger naturalists.	Kahit pa ang mga malapit na kaibigan ni Darwin na sina Gray, Hooker, Huxley at Lyell ay naghayag pa rin ng iba't ibang mga reserbasyon ngunit nagbigay ng malakas na suporta gaya ng iba pang lalo na ang mga mas batang naturalista.
Gray and Lyell sought a reconciliation of faith while Huxley painted a polarization between religion and science.	Sina Gray at Lyell ay naghangad ng rekonsilyasyon sa pananampalataya samantalang si Huxley ay nagpinta ng isang polarisasyon sa pagitan ng relihiyon at agham.
He has been campaigning against the authority of education priests, aiming to bolster the conquest of priests and artist novices under Owen in favor of the new generation of professional scientists.	Siya ay palabang nangampanya laban sa autoridad ng mga pari sa edukasyon, na naglalayon na pataubin ang pananaig ng mga pari at artistokratikong baguhan sa ilalim ni Owen bilang pabor sa bagong henerasyon ng mga propesyonal na siyentipiko.
Owen claims that the brain's anatomy proves that people separate biological orders from the ape showed Huxley's error in a long-standing dispute that Kinsgley borrowed as the "Great Hippocampus Question" and refuted Owen .	Ang pag-aangkin ni Owen na ang anatomiya ng utak ay nagpapatunay na ang mga tao hiwalay na biolohikal na order mula sa mga ape ay ipinakitang mali ni Huxley sa isang mahabang pagtatalo na pinarodiya ni Kinsgley bilang ang "Great Hippocampus Question" at pinabulaanan si Owen.
Darwinism has become a movement that covers a broad range of evolutionary ideas.	Ang Darwinismo ay naging isang kilusan na sumasakop sa isang malawak na saklaw ng mga ebolusyonaryong ideya.
In 1862, Lyell's Geological Evidences of the Antiquity of Man introduced prehistory although his evolutionary care disliked Darwin.	Noong 1862, ang Geological Evidences of the Antiquity of Man ni Lyell ay nagpasikat ng bago ang kasaysayan (prehistory) bagaman ang kanyang pagiingat sa ebolusyon ay sumiphayo kay Darwin.
After several weeks Huxley's Evidence as to Man's Place in Nature confirmed that in anatomy, people were ape and after The Naturalist on the River Amazons of Henry Walter Bates gave empirical evidence of natural selection .	Pagkatapos ng ilang mga linggo ang Evidence as to Man's Place in Nature ni Huxley ay nagpatunay na sa anatomiya, ang mga tao ay mga ape at pagktapos ang The Naturalist on the River Amazons ni Henry Walter Bates ay nagbigay ng empirikal na ebidensiya ng natural na seleksiyon.
Lobbying brought Darwin the highest-ranking British scientist of the Copley Medal who was commissioned on November 3, 1864.	Ang pag-iimpluwensiya (lobbying) ay nagdala kay Darwin ng pinakamataas na karangalang siyentipiko ng Britansiya na Medalyang Copley na ginawad noong 3 Nobyembre 1864.
On the same day, Huxley held the first meeting that became known as the infamous X Club which was intended for "science, purity, and independent, non-repressive religions".	Sa parehong araw, idinaos ni Huxley ang unang pagpupulong na naging kilala na impluwensiya na X Club na inilaan para sa "agham, puro, at malayang, hindi sinusupil ng mga dogmang relihiyoso".
In the last decade, most scientists agree that evolution has occurred but only one minority supports Darwin's view that its main mechanism is natural selection.	Sa huling dekada, karamihan sa mga siyentipiko ay umaayon na ang ebolusyon ay nangyari ngunit ang isa lamang minoridad ang sumusuporta sa pananaw ni Darwin na ang pangunahing mekanismo nito ang natural na seleksiyon.
On the Origin of Species has been translated into many languages that have been the main scientific texts that attract attention from all walks of life including working men who attend Huxley's teachings.	Ang On the Origin of Species ay isinalin sa maraming mga wika na naging pangunahing siyentipikong teksto na umaakit ng atensiyon mula sa lahat ng takbo ng buhay kabilang ang mga lalakeng trabahador na dumalo sa mga pagtuturo ni Huxley.
Darwin's theory has also sparked various movements at this time and became a major part of popular culture.	Ang teoriya ni Darwin ay sumidhi rin sa iba't ibang mga kilusan sa panahong ito at naging isang pangunahing bahagi ng popular na kultura.
Cartoons celebrate ancestors of animals in an old tradition of showing people with animal traits and in Britain, these images have made Darwin's theory unfavorable.	Pinarodiya ng mga kartoonista ang ninuno ng mga hayop sa isang lumang tradisyon na nagpapakita ng mga tao na may katangian ng hayop at sa Britanya, ang mga imaheng ito ang nagpasikat sa teoriya ni Darwin sa hindi nakababantang paraan.
While sick in 1862, Darwin began blowing a beard and when he again appeared to the public in 1866, his cartoons as a ape (the ape) helped to link all the forms of evolutionism to Darwinism.	Habang may sakit noong 1862, si Darwin ay nagsimulang tubuan ng balbas at nang siya ay muling lumitaw sa publiko noong 1866, ang mga karikatura sa kanya bilang isang ape (bakulaw) ay tumulong na umugnay ng lahat ng mga anyo ng ebolusyonismo sa Darwinismo.
Human Origin, Sexual Selections, and Botany Despite the repeated episodes of the disease in the last twenty-two years of his life, Darwin's work continued.	Pinamgmulan ng Tao, seleksiyong seksuwal, at botaniya Sa kabila ng paulit ulit na yugto ng sakit sa huli ng dalawampu't dalawang mga taong kanyang buhay, ang paggawa ni Darwin ay nagpatuloy.
In the publication of his On the Origin of Species as abstract of his theory, he continued experimenting, researching and writing "folio".	Sa pagkakalimbag ng kanyang On the Origin of Species bilang abstrakto ng kanyang teoriya, siya ay nagpatuloy sa mga eskperimento, pagsasaliksik at pagsusulat ng "malaking aklat".
He included the origin of man from earlier animals including the evolution of society and intellectuals as well as explaining the sophisticated beauty of livestock and widening new studies of plants.	Kanyang isinama ang pinagmulan ng tao mula sa mas naunang mga hayop kabilang ang ebolusyon ng lipunan at mga kakayang pang-isipan gayundin ang papapaliwanag ng nagpapalamuting kagandahan sa kahayupan at lumawak sa bagong mga pag-aaral ng mga halaman.
Her insect pollination investigations went back to 1861 in great studies of wild orchids that demonstrate the adaptation of their flowers to attract specific species to each species and ensure the crossing the corpse.	Ang kanyang mga pagsisiyasat tungkol sa polinasyon ng insekto ay tumungo noong 1861 sa mga dakilang pag-aaral ng mga ligaw na orchid na nagpapakita ng pag-aangkop (adaptation) ng kanilang mga bulaklak upang umakit ng mga spesipikong gamu gamo sa bawat espesye at siguruhin ang krus na pertilisasyon.
His 1862 Fertilization of Orchids gave the first detailed demonstration of the power of natural selection to explain complex elaborate ecotourisms, producing predictable predictions or predictions.	Ang kanyang 1862 na Fertilisation of Orchids ang nagbigay ng unang detalyadong demonstrasyon ng kapangyarihan ng natural na seleksiyon upang ipaliwanag ang masalimuot na mga ugnayang ekolohikal, na gumagawa ng mga masusubok na prediksiyon o hula.
As his health became weak, he was lagging in his room point of inviting experiments to outline the movements of the vine.	Habang humihina ang kanyang kalusugan, siya ay nakahilata sa kanyang kwarto na punto ng mga nag-iimbentong eksperimento upang balangkasin ang pagkilos ng mga baging.
Guest guests include Ernst Haeckel, a zealous advocate of Darwinismus who includes Lamarckism and Goethe's idealism.	Ang mga humahangang bisita ay kinabibilangan ni Ernst Haeckel na isang masigasig na tagapagtaguyod ng Darwinismus na nagsasama ng Lamarckismo at ang idealismo ni Goethe.
Wallace remained supportive, though he increasingly turned to Spiritualism.	Wallace remained supportive, though he increasingly turned to Spiritualism.
The Variation of Animals and Plants under Domestication in 1868 was the first of Dawin's "big book" and includes unsuccessful panesesis hypotheses that attempt to explain heredity.	Ang The Variation of Animals and Plants under Domestication noong 1868 ang unang bahagi ng pinlanong "malaking aklat" ni Dawin at kinabibilangan ng hindi matagumpay na mga hipotesis ng panhenesis na nagtatangkang ipaliwanag ang pagmamana.
It is sold quickly initially in spite of its size and is translated into many languages.	Ito ay nabenta nang mabilis sa simula sa kabila ng sukat nito at isinalin sa maraming mga wika.
He wrote the majority of the apex but remained unpublished while he was living.	Kanyang isinulat ang karamihan ng ikalwang bahagi ngunit nanatiling hindi nalilimbag habang siya ay nabubuhay.
Lyell has already embarked on human prehistory and Huxley showed that in anatomical illustration, people were ape.	Pinasikat na ni Lyell ang bago ang kasaysayan (prehistory) ng tao at ipinakita ni Huxley na sa paglalarawang anatomikal, ang mga tao ay mga ape.
In the publication of The Descent of Man, and Selection in Relation to Sex in 1871, Darwin laid out evidence from various references that humans are animals that demonstrate the continuity of the physical, mental and characteristic is presented with sexual selection to explain the imprastial characteristics of animals such as peacock plates as well as cultural evolution of humanity, gender differences, and physical and cultural traits while emphasizing that people are all one species.	Sa pagkakalimbag ng The Descent of Man, and Selection in Relation to Sex noong 1871, inilatag ni Darwin ang ebidensiya mula sa iba't ibang mga sanggunian na ang mga tao ay mga hayop na nagpapakita ng pagpapatuloy ng pisikal, at pang-isipang katangian at ipinrisinta ang seleksiyong seksuwal upang ipaliwanag ang impraktikal na mga katangian ng hayop gaya ng plumahe ng peacock gayundin ang ebolusyong pantao ng kultura, mga pagkakaiba sa kasarian, at pisikal at kultural na katangiang panglahi habang binibigyang diin na ang mga tao ay lahat isang espesye.
His research using pictures was extended in his book in 1872 The Expression of the Emotions in Man and Animals which is one of the first books that presents printed pictures that discuss the evolution of human psychology and its continuity in behavior of animals.	Ang kanyang pagsasaliksik gamit ang mga larawan ay pinalawig sa kanyang aklat noong 1872 na The Expression of the Emotions in Man and Animals na isa sa mga unang aklat na nagtatanghal ng mga inilimbag na larawan na tumatalakay ng ebolusyon ng sikolohiya ng tao at ang pagpapatuloy nito sa pag-aasal ng mga hayop.
Both of these books have been proven to arise and Darwin is impressed with the general consensus on his views where his views are accepted and signifies "everyone is talking about it without shock".	Ang parehong mga aklat na ito ay napatunay sumikat at si Darwin ay humanga sa pangkalahatang pag-aayon sa kanyang mga pananaw kung saan ang kanyang mga pananaw ay tinanggap at nagmamarkang "ang bawat isa ay pinag-uusapan ito ng walang pagkabigla".
The conclusion is "the man of all his great qualities, with a sympathetic sympathy for the least, with goodness extending to empty flesh to other people but to the humble creature, with such a god of intelligence that penetrated the actions and constitutions of the solar system-to all the exalted powers-the person still carries on his physical structure the unobtrusive sign of his low origin. ".	Ang konklusyon ay "ang tao sa kanyang lahat ng mga dakilang katangian, na may simpatiya na nakakaramdan para sa mga pinakanababa, na may kabutihan na lumalawig hindi laman sa ibang mga tao ngunit sa pinakamapagpakumbabang nilalang, na may tulad ng diyos na katalinuhan na tumagos sa mga kilos at konstitusyon ng sistemang solar-sa lahat ng mga dumakilang kapangyarihan-ang tao ay nagdadala pa rin sa kanyang balangkas na pangkatawan ang hindi mabuburang tanda ng kanyang mababang pinagmulan.".
His experiments related to evolution and investigations led to the books of Insectivorous Plants, The Effects of Cross and Self Fertilization in the Vegetable Kingdom, different forms of flowers on plants of the same species, at The Power of Movement in Plants.	Ang kanyang mga eksperimentong nauugnay sa ebolusyon at mga imbestigasyon ay tumungo sa mga aklat na Insectivorous Plants, The Effects of Cross and Self Fertilisation in the Vegetable Kingdom, different forms of flowers on plants of the same species, at The Power of Movement in Plants.
In his last book, he returned to The Formation of Vegetable Mold through the Action of Worms.	Sa kanyang huling aklat, siya ay bumalik sa The Formation of Vegetable Mould through the Action of Worms.
Death and Legality In 1882, Darwin was diagnosed with the term "angina pectoris" which means this period of coronary thrombosis and heart disease.	Kamatayan at legasiya Noong 1882, si Darwin ay na-diagnos ng tinawag na "angina pectoris" na nangangahulugan sa panahong ito ng koronaryong trombosis at sakit sa puso.
At the time of his death, doctors diagnosed "anginal attacks" and "heart failure".	Sa panahon ng kanyang kamatayan, na-diagnos ng mga doktor ang "mga pag-atakeng anginal" at "pagkabigo ng puso".
Darwin died at Down House on 19 April 1882.	Si Darwin ay namatay sa Down House noong 19 Abril 1882.
Her last words to her family tell Emma that "I am not afraid of death-Remember how well you have been my wife-Tell all my children to remember how they were good to me" and then while Emma is resting, Darwin repeatedly told Henrietta and Francis "It's almost hard to get sick to care for you".	Ang kanyang mga huling salita sa kanyang pamilya na nagsasabi kay Emma na "Hindi ako natatakot sa kamatayan-Alalahanin kung paanong naging mabuti kang asawa sa akin-Sabihin mo sa lahat ng aking mga anak na alalahanin kung paano sila naging mabuti sa akin" at pagkatapos ay habang si Emma ay nagpapahinga, paulit ulit na sinabi ni Darwin kay Henrietta at Francis "Halos sulit na magkasakit upang maalagaan ninyo".
He hopes to be buried in the church grounds in Downe but at the request of Darwin's colleagues and after the public and parliamentary plea, William Spottiswoode (Royal Society president) ordered Darwrin to honor a large ceremonial puneral in Westminster Abbey close to John Herschel and Isaac Newton.	Inaasahan niyang ilibing sa bakuran ng simbahan sa Downe ngunit sa kahilingan ng mga kasama ni Darwin at pagkatapos ng publiko at parliamentaryong pagsusumamo, isinaayos ni William Spottiswoode (na presidente ng Royal Society) na si Darwrin ay parangalan ng isang malaking seremonyal na puneral sa Westminster Abbey malapit kauy John Herschel at Isaac Newton.
Darwin convinced most scientists that evolution as a source of change was correct and he was considered a great scientist who was revolutionizing ideas.	Nakumbinsi ni Darwin ang karamihan sa mga siyentipiko na ang ebolusyon bilang pinagmulan na may modipikasyon ay tama at siya ay itinuturing na isang dakilang siyentipiko na nagrebolusyonisa ng mga ideya.
Although few agree with that "natural selection is the primary but not exclusive method of modifications", he was preached in June 1909 by more than 400 officials and scientists from around the world who met in Cambridge to remember his 19th- 100 years and the 15th anniversary of his book On the Origin of Species.	Bagaman kakaunti ang umaayon sa kanyan na "ang natural na seleksiyon ang pangunahin ngunit hindi eksklusibong paraan ng modipikasyon", siya ay pinangaralan noong Hunyo 1909 ng higit sa 400 mga opisyal at siyentipiko mula sa buong mundo na nagpulong sa Cambridge upang alalahanin ang kanyang ika-100 taon at ang ika-15 taong anibersaryo ng kanyang aklat na On the Origin of Species.
At this time called "the Eclipse of Darwinism", scientists have proposed various alternative evolutionary mechanisms that have proved to be undamped.	Sa panahong ito na tinatawag na "ang eklipse ng Darwinismo", ang mga siyentipiko ay nagmungkahi ng iba't ibang mga alternatibong ebolusyonaryong mekanismo na kalaunang napatunayang hindi mapagtatanggol.
The development of modern evolutionary synthesis from 1930 to 1950 incorporating natural selection along with the genetic population and Mendelian genetics brought a broad scientific agreement that natural selection was the basic mechanism of evolution.	Ang pagkakabuo ng modernong ebolusyonaryong sintesis mula 1930 hanggang 1950 na nagsasama ng natural na seleksiyon kasama ng henetikang populasyon at Mendelian na henetika ay nagdala ng malawak na siyentipikong kasunduan na ang natural na seleksiyon ang basikong mekanismo ng ebolusyon.
This synthesis sets out the framework for modern debates and refinement of this theory.	Ang sintesis na ito ang naglatag ng balangkas para sa mga modernong debate at pagpipino ng teoriyang ito.
Children Darwin and his wife Emma have 10 children: the two died in infancy.	Mga anak Si Darwin at kanyang asawang si Emma ay may 10 mga anak: ang dalawa ay namatay sa pagkasanggol.
His son Anne Darwin died at the age of 10 and it had a damaging effect on Darwin and his wife.	Ang kanyang anak na si Anne Darwin ay namatay sa edad na 10 at ito may isang nakapipinsalang epekto kay Darwin at sa kanyang asawa.
Proteobacteria also called Photosynthetic Bacteria.	Ang Proteobacteria na tinatawag ding Photosynthetic Bacteria.
These are Gram-Negative rods, cocci, spirilla.	Ito ay mga Gram-Negative rods, cocci, spirilla.
Some of them have Flagella.	Ilan sa mga ito ay may Flagella.
Often cells (violet, green, yellow, violet, and chocolate) are due to the amount of carotenoids.	Kadalasan ang mga selula (violet, berde, dilaw, lila, at tsokolate) ay dahil sa dami ng carotenoids.
Other cells contain Gas Vacuoles.	Ang ibang selula ay nagtataglay ng Gas Vacuoles.
They are limited to having water habitats such as shallow, salty lakes, at a depth of 25m.	Ang mga ito ay limitado sa pagkakaroon ng tirahan sa tubig tulad ng mababaw, at maalat na lawa, may lalim na 25m.
with anaerobic strata in the lake or hot springs rich in sulfate.	na may anaerobic strata sa lawa o mainit na bukal na sagana sa sulfate.
Bleeding Bacteria Bleeding bacteria are the second part of the bacteria that contain gram-negative groups.	Dumadausdos na Bakterya Ang mga dumadausdos na bakterya ay ang ikalawang bahagi ng bakterya na naglalaman ng mga grupong gram-negatibo.
Contrary to the name of this group, not all members of this part will be sluggish (for example a henus of green photosynthetic bacteria Chloroflexus has a slight movement).	Taliwas sa pangalan ng pangkat na ito, hindi lahat ng miyembro ng bahagi na ito ay damadausdos (halimbawa ang isang henus ng berdeng potosintetikong bakterya na Chloroflexus ay mayroong pagdausdos na paggalaw).
One is myxobacteria in the part of this group.	Isa ang myxobacteria sa bahagi ng pangkat na ito.
Their cells form a circle that forms a colony.	Hugis bilog ang kanilang selula na bumubuo sa isang kolonya.
They emit spores that survive briefly in chains such as pellets.	Naglalabas sila ng mga spores na nabubuhay ng maikli sa mga kadena tulad ng tumpok ng sitaw.
They are found on the ground and emit enzymes that separate from other bacteria or later, they eat their cellulose.	Natatagpuan sila sa lupa at naglalabas ng mga enzyme na humihiwalay sa ibang bakterya o sa ibang pagkakataon, kinakain nila ang kanilang cellulose.
Spirochetes Spirochetes is the fifth part of bacteria that is a gram-negative.	Spirochetes Ang Spirochetes ay ang ikalimang bahagi ng bakterya na isang gram-negatibo.
They are long and often bending their cells that often swim through their axial flagella.	Sila ay mahahaba at kadalasang baluktot ang kanilang selula na kadalasang lumalangoy sa pamamagitan ng kanilang axial flagella.
