English	Filipino
is the most clear teaching in the Bible about.	ang pinaka-malinaw na pagtuturo sa Bibliya tungkol sa pagdating ni Hesus na nasa mga ulap.
Is December 22 Friday.	Biyernes ba sa ika-dalawampu't dalawa ng Disyembre.
I wish tomorrow will be September 27.	Sana ika-dalawampu't pito na ng Septyembre bukas.
Morning of September 8.	Umaga ng ika-siyam ng Septyembre.
It's already September 8!.	ika-siyam na ng Septyembre!.
He lost his money last December 23.	Nawala niya noong ika-dalawampu't tatlo ng Disyembre ang kanyang pera.
Noon of November 17.	Tanghali ng ika-labinpito ng Nobyembre.
November 4 is Monday.	Ang ika-apat ng Nobyembre ay Lunes.
November 17 will be Sunday because.	Linggo ang ika-labinpito ng Nobyembre dahil.
He sold his guitar last December 22.	Binenta niya ang kanyang gitara noong ika-dalawampu't dalawa ng Disyembre.
It has been forty-one years since I have cheese.	apatnapu't-isang taon nang akong merong keso.
Festival will only last until October 4.	Hanggang sa ika-apat nalang ng Oktubre ang piyesta.
Go here on October 12.	Pumunta ka dito sa ika-labindalawa ng Oktubre.
he may devour.	ang maaari niyang lamunin.
November 29 will be Sunday because.	Linggo ang ika-dalawampu't siyam ng Nobyembre dahil.
He will sell his guitar on November 14.	Ibebenta niya ang kanyang gitara sa ika-labing-apat ng Nobyembre.
truly saved.	tunay na ligtas.
If it's not yet November 28,.	Kung hindi pa ika-dalawampu't walo ng Nobyembre,.
Afternoon of September 13.	Hapon ng ika-labintatlo ng Septyembre.
Show me one verse that says that we will be.	Magpakita kayo sa akin ng isang bersikulo na nagsasabi na tayo ay mawawala na bago ang kapighatian.
Yesterday is September 14.	Kahapon ay ika-labing-apat ng Septyembre.
be of good cheer: I have overcome the world.	maging masayang sigaw: Aking napagtagumpayan ang mundo.
He will go here on October 13.	Pupunta siya dito sa ika-labintatlo ng Oktubre.
If it's not yet November 19,.	Kung hindi pa ika-labingsiyam ng Nobyembre,.
December 25 is Thursday.	Ang ika-dalawampu't lima ng Disyembre ay Huwebes.
(Romans 5:8) But God commendeth his love toward.	(Romans 5:8) Datapuwat ipinagtatagubilin ng Dios ang kaniyang pagibig sa atin.
I lost my four eleven at 7:30 PM.	Nawala ko ang aking apat na labing-isang noong alas siyete e medya ng gabi.
December 26 is Wednesday.	Ang ika-dalawampu't anim ng Disyembre ay Miyerkules.
November 20 is Wednesday.	Ang ika-dalawampu ng Nobyembre ay Miyerkules.
fall into that category in some peoples minds.	bumagsak sa ganung katergorya sa utak ng mga ilang tao.
you will see your loved one again that was.	makikita ninyong muli ang inyong mahal na isang naligtas na tao.
It is November 12 when.	ika-labindalawa ng Nobyembre noon nung.
Pastor Anderson: And I am saying there is.	Pastor Anderson: Ang sinasabi ko ay walang ebidensya ng kung sinuman mula sa ano mang denominasyon.
It is October 16 when.	ika-labing-anim ng Oktubre noon nung.
September 20 is Wednesday.	Ang ika-dalawampu ng Septyembre ay Miyerkules.
He will go here on September 4.	Pupunta siya dito sa ika-apat ng Septyembre.
If you are eating fourteen times in fourteen months,.	Kung kumakain ka ng labing-apat na beses sa labing-apat na buwan,.
He will sell his guitar on November 16.	Ibebenta niya ang kanyang gitara sa ika-labing-anim ng Nobyembre.
If it's not yet September 19,.	Kung hindi pa ika-labingsiyam ng Septyembre,.
If December 13 is Saturday,.	Kung Sabado ang ika-labintatlo ng Disyembre,.
October 15 is Wednesday.	Ang ika-labinlima ng Oktubre ay Miyerkules.
Morning of October 15.	Umaga ng ika-labinlima ng Oktubre.
Today is September 30.	Ngayon ay ika-tatlumpu ng Septyembre.
December 7 will be Sunday because.	Linggo ang ika-pito ng Disyembre dahil.
It is October 19 when.	ika-labingsiyam ng Oktubre noon nung.
Today is October 5.	Ngayon ay ika-lima ng Oktubre.
Did it rain last September 4.	Umulan ba noong ika-apat ng Septyembre.
November 6 is Wednesday.	Ang ika-anim ng Nobyembre ay Miyerkules.
Is November 6 Friday.	Biyernes ba sa ika-anim ng Nobyembre.
October 22 will be Sunday because.	Linggo ang ika-dalawampu't dalawa ng Oktubre dahil.
It is November 17 when.	ika-labinpito ng Nobyembre noon nung.
He will write a book until November 20.	Magsusulat siya ng libro hanggang sa ika-dalawampu ng Nobyembre.
September 21 will be Sunday because.	Linggo ang ika-dalawampu't isa ng Septyembre dahil.
I lost my nine dinner at 10:00 AM.	Nawala ko ang aking siyam na hapunan noong alas diyes ng umaga.
describes events going on in Heaven.	inilalarawan ang mga kaganapang nangyayari sa Langit.
At 8:00 PM, there are fourteen son at the nearest shopping mall.	Merong labing-apat na anak na lalaki sa pinakamalapit na mall kaninang alas otso ng gabi.
December 12 is the day of his death.	Sa ika-labindalawa ng Disyembre ang araw ng kanyang kamatayan.
Are you going to the bus station later at 5:00 PM.	Pupunta ka ba sa alas singko ng hapon mamayang estasyon ng bus.
He will write a book until December 13.	Magsusulat siya ng libro hanggang sa ika-labintatlo ng Disyembre.
He's planning to buy a bed before November 26.	Balak niyang bumili ng higaan bago mag ika-dalawampu't anim ng Nobyembre.
Remember we talked earlier about the second.	Natatandaan ba ninyo na kanina napagusapan natin ang tungkol sa ikalawang pagdating ni HesuKristo.
I wish tomorrow will be October 6.	Sana ika-anim na ng Oktubre bukas.
understand the word tribulation because.	maunawaan ang salitang kapighatian dahil may ideya sila sa kanilang mga isipan na ang.
Festival will only last until December 7.	Hanggang sa ika-pito nalang ng Disyembre ang piyesta.
Go here on November 6.	Pumunta ka dito sa ika-anim ng Nobyembre.
December 20 is Tuesday.	Ang ika-dalawampu ng Disyembre ay Martes.
person who is coming is the antichrist.	tao na darating ay ang antikristo.
the mark of the beast - this mark that will.	ang Marcos ng hayop - itong Marcos na siyang kakailanganin para makabili o makapagben - ay.
September 22 is the day of his death.	Sa ika-dalawampu't dalawa ng Septyembre ang araw ng kanyang kamatayan.
If September 18 is Saturday,.	Kung Sabado ang ika-labinwalo ng Septyembre,.
They fought last September 23 because of money.	Nag-away sila noong ika-dalawampu't tatlo ng Septyembre dahil sa pera.
Yesterday is September 20.	Kahapon ay ika-dalawampu ng Septyembre.
Today is December 7.	Ngayon ay ika-pito ng Disyembre.
be worth anything.	wala na itong halaga.
He will sell his guitar on September 24.	Ibebenta niya ang kanyang gitara sa ika-dalawampu't apat ng Septyembre.
He has been losing for one hours at the next bus station.	isang oras na siyang natatalo sa susunod na estasyon ng bus.
It's sunny all month long except last December 24.	Umaraw buong buwan maliban noong ika-dalawampu't apat ng Disyembre.
At 12:00 PM, there are seven eggs at the international airport.	Merong pitong itlog sa internasyonal na paliparan kaninang Alas dose ng tanghali.
He sold his guitar last September 29.	Binenta niya ang kanyang gitara noong ika-dalawampu't siyam ng Septyembre.
It rained really hard last September 8.	Umulan ng malakas noong ika-siyam ng Septyembre.
Let’s meet on November 18.	Magkita tayo sa ika-labinwalo ng Nobyembre.
Today is September 20.	Ngayon ay ika-dalawampu ng Septyembre.
If it's not yet November 7,.	Kung hindi pa ika-pito ng Nobyembre,.
Yesterday is December 25.	Kahapon ay ika-dalawampu't lima ng Disyembre.
Noon of November 3.	Tanghali ng ika-tatlo ng Nobyembre.
Let’s meet on October 8.	Magkita tayo sa ika-siyam ng Oktubre.
He sold his guitar last November 14.	Binenta niya ang kanyang gitara noong ika-labing-apat ng Nobyembre.
I lost my ten grandson at 12:30 PM.	Nawala ko ang aking sampung apo na lalaki noong Alas dose e medya ng hapon.
Did it rain last November 25.	Umulan ba noong ika-dalawampu't lima ng Nobyembre.
October 24 is Wednesday.	Ang ika-dalawampu't apat ng Oktubre ay Miyerkules.
November 17 is Thursday.	Ang ika-labinpito ng Nobyembre ay Huwebes.
He lost his money last December 15.	Nawala niya noong ika-labinlima ng Disyembre ang kanyang pera.
that the pre-trib rapture idea just was not true.	na ang destruksyon bago ang kapighatian na ideya ay hindi totoo.
Go here on September 25.	Pumunta ka dito sa ika-dalawampu't lima ng Septyembre.
If December 11 is Saturday,.	Kung Sabado ang ika-labing-isa ng Disyembre,.
Are you going to the next police station later at 7:00 AM.	Pupunta ka ba sa alas siyete ng umaga mamayang susunod na estasyon ng pulis.
It has been nineteen hours since I have trousers.	labing-siyam na oras nang akong merong pantalon.
He wants us to know the truth.	Nais Niya na malaman natin ang katotohanan.
It rained really hard last October 8.	Umulan ng malakas noong ika-siyam ng Oktubre.
It's sunny all month long except last November 22.	Umaraw buong buwan maliban noong ika-dalawampu't dalawa ng Nobyembre.
and brimstone.	at asupre.
you read Revelation chapter 6 or Matthew 24.	babasahin ninyo ang Rebelasyon kapitulo 6 o Mateo 24.
Festival will only last until October 12.	Hanggang sa ika-labindalawa nalang ng Oktubre ang piyesta.
November 24 is Wednesday.	Ang ika-dalawampu't apat ng Nobyembre ay Miyerkules.
I lost my forty-three nuts at 12:00 PM.	Nawala ko ang aking apatnapu't-tatlong mani noong Alas dose ng tanghali.
If it's not yet October 13,.	Kung hindi pa ika-labintatlo ng Oktubre,.
Yesterday is September 24.	Kahapon ay ika-dalawampu't apat ng Septyembre.
He will go here on October 10.	Pupunta siya dito sa ika-sampu ng Oktubre.
elect That is Israel.	hinirang Yan ang Israel.
If December 30 is Saturday,.	Kung Sabado ang ika-tatlumpu ng Disyembre,.
I wish tomorrow will be December 6.	Sana ika-anim na ng Disyembre bukas.
He sold his guitar last December 20.	Binenta niya ang kanyang gitara noong ika-dalawampu ng Disyembre.
September 25 is Tuesday.	Ang ika-dalawampu't lima ng Septyembre ay Martes.
He knows you.	Kilala niya kayo.
the sign of your coming And when will it.	mga palatandaan ng iyong pagdating At kailan ito magaganap Ang hindi nagbabagong kwento ay nakalahad muli sa Marcos.
They fought last November 7 because of money.	Nag-away sila noong ika-pito ng Nobyembre dahil sa pera.
Morning of November 10.	Umaga ng ika-sampu ng Nobyembre.
was a child and you never really question.	ako ay bata pa at hindi naman kayo magtatanong talaga sa kung ano ang itinuturo sa iny.
I lost my forty-four fish at 12:00 PM.	Nawala ko ang aking apatnapu't-apat na isda noong Alas dose ng tanghali.
he was their messiah.	siya ang kanilang mesiyas.
It has been twenty-one days since I have mussels.	dalawampu't-isang araw nang akong merong tahong.
He has been investigating for twenty-seven days at the international airport.	dalawampu't-pitong araw na siyang nagmamasid sa internasyonal na paliparan.
He sold his guitar last December 2.	Binenta niya ang kanyang gitara noong ika-dalawa ng Disyembre.
Today is October 28.	Ngayon ay ika-dalawampu't walo ng Oktubre.
years ago.	taon ang nakakaraan.
From 5:00 PM to 11:00 PM.	Simula nang alas singko ng hapon hanggang alas onse ng gabi.
also which sleep in Jesus will God bring with.	nangatutulog kay Hesus ay dadalhin ng Dios na kasama niya.
about how some day the Devil will be cast.	ang tungkol sa kung paano na darating araw na si Satanas ay palalayasin at pabababain mula sa Langit.
They fought last September 2 because of money.	Nag-away sila noong ika-dalawa ng Septyembre dahil sa pera.
October 2 is Thursday.	Ang ika-dalawa ng Oktubre ay Huwebes.
At 8:30 PM, there are thirty-one salads at the domestic airport.	Merong tatlumpu't-isang ensalada sa paliparang lokal kaninang alas otso e medya ng gabi.
October 26 is Wednesday.	Ang ika-dalawampu't anim ng Oktubre ay Miyerkules.
If November 15 is Saturday,.	Kung Sabado ang ika-labinlima ng Nobyembre,.
Let’s meet on November 23.	Magkita tayo sa ika-dalawampu't tatlo ng Nobyembre.
Tomorrow will be November 10.	ika-sampu ng Nobyembre bukas.
kingdom of heaven but he that doeth the will.	sa kaharian ng langit kundi ang gumaganap ng kalooban ng aking Ama na nasa langit.
It rained really hard last September 26.	Umulan ng malakas noong ika-dalawampu't anim ng Septyembre.
Is November 7 Friday.	Biyernes ba sa ika-pito ng Nobyembre.
From 2:00 AM to 6:00 PM.	Simula nang alas dos ng umaga hanggang alas sais ng hapon.
He lost his money last October 11.	Nawala niya noong ika-labing-isa ng Oktubre ang kanyang pera.
Afternoon of November 21.	Hapon ng ika-dalawampu't isa ng Nobyembre.
It will be December 3 next week.	ika-tatlo na ng Disyembre sa susunod na linggo.
I lost my forty-nine bus leave at 12:00 PM.	Nawala ko ang aking apatnapu't-siyam na alis ng bus noong Alas dose ng tanghali.
He will write a book until September 29.	Magsusulat siya ng libro hanggang sa ika-dalawampu't siyam ng Septyembre.
He sold his guitar last September 27.	Binenta niya ang kanyang gitara noong ika-dalawampu't pito ng Septyembre.
I say that.	aking sinasabi ang gayon.
Morning of December 20.	Umaga ng ika-dalawampu ng Disyembre.
They fought last December 5 because of money.	Nag-away sila noong ika-lima ng Disyembre dahil sa pera.
Morning of November 21.	Umaga ng ika-dalawampu't isa ng Nobyembre.
He lost his money last October 26.	Nawala niya noong ika-dalawampu't anim ng Oktubre ang kanyang pera.
It will be November 29 next week.	ika-dalawampu't siyam na ng Nobyembre sa susunod na linggo.
November 11 is Thursday.	Ang ika-labing-isa ng Nobyembre ay Huwebes.
If you are laughing six times in six months,.	Kung tumatawa ka ng anim na beses sa anim na buwan,.
of his coming.	ng kanyang pagbalik.
It will be December 16 next week.	ika-labing-anim na ng Disyembre sa susunod na linggo.
If November 4 is Saturday,.	Kung Sabado ang ika-apat ng Nobyembre,.
It's already September 21!.	ika-dalawampu't isa na ng Septyembre!.
(John 11:26) And whosoever liveth and believeth.	(Juan 11:26) At ang sinomang nabubuhay at sumasampalataya sa akin ay hindi mamamatay magpakailan man.
It will be November 24 next week.	ika-dalawampu't apat na ng Nobyembre sa susunod na linggo.
He will sell his guitar on September 8.	Ibebenta niya ang kanyang gitara sa ika-siyam ng Septyembre.
Did it rain last November 6.	Umulan ba noong ika-anim ng Nobyembre.
It is persecution.	Ito ay ang pag-uusig.
is going to say to you one day.	isang araw.
It is September 19 when.	ika-labingsiyam ng Septyembre noon nung.
He has been winning for fifty minutes at the ticket office.	limampung minuto na siyang nananalo sa bilihan ng tiket.
Harvard Doctor: So many emergency physicians.	Doktor sa harvard: Napakaraming mga emergency doktor ang kailangang mag-opera ng bulag.
world currency.	salapi ang buong mundo.
Let’s meet on December 15.	Magkita tayo sa ika-labinlima ng Disyembre.
He's planning to buy a bed before September 17.	Balak niyang bumili ng higaan bago mag ika-labinpito ng Septyembre.
You can screw up your life down here.	Maaari mong sirain ang buhay mo dito sa ibaba.
Are you going to the tourist information office later at 11:00 PM.	Pupunta ka ba sa alas onse ng gabi mamayang tanggapang pangturista.
(Matthew 24:40) Then shall two be in the field.	(Mateo 24:40) Kung magkagayoy sasa bukid ang dalawang lalake ang isay kukunin.
Today is December 27.	Ngayon ay ika-dalawampu't pito ng Disyembre.
Did it rain last October 11.	Umulan ba noong ika-labing-isa ng Oktubre.
Is December 26 Friday.	Biyernes ba sa ika-dalawampu't anim ng Disyembre.
I wish tomorrow will be October 7.	Sana ika-pito na ng Oktubre bukas.
Go here on September 5.	Pumunta ka dito sa ika-lima ng Septyembre.
He will go here on December 17.	Pupunta siya dito sa ika-labinpito ng Disyembre.
It's already December 18!.	ika-labinwalo na ng Disyembre!.
October 28 is the day of his death.	Sa ika-dalawampu't walo ng Oktubre ang araw ng kanyang kamatayan.
If November 13 is Saturday,.	Kung Sabado ang ika-labintatlo ng Nobyembre,.
It is October 24 when.	ika-dalawampu't apat ng Oktubre noon nung.
He has been smiling for thirty-two years at the cinema.	tatlumpu't-dalawang taon na siyang nakangiti sa sinehan.
November 18 is the day of his death.	Sa ika-labinwalo ng Nobyembre ang araw ng kanyang kamatayan.
It's already October 10!.	ika-sampu na ng Oktubre!.
Pastor Anderson: The pre-tribulation rapture.	Pastor Anderson: Ang doktrina sa destruksyon bago ang kapighatian ay bago pa lamang.
He sold his guitar last November 24.	Binenta niya ang kanyang gitara noong ika-dalawampu't apat ng Nobyembre.
(Revelation 12:7) And there was war in heaven:.	(Rebelasyon 12:7) At nagkaroon ng pagbabaka sa langit: si Miguel at ang kaniyang mga anghel ay nakipagbaka.
It's already October 27!.	ika-dalawampu't pito na ng Oktubre!.
represents the world and bringing the believer.	kumakatawan sa mundo at ilayo ang mga mananampalataya bago ang matinding poot ng Diyos ay mabuhos.
I wish tomorrow will be September 25.	Sana ika-dalawampu't lima na ng Septyembre bukas.
He lost his money last November 25.	Nawala niya noong ika-dalawampu't lima ng Nobyembre ang kanyang pera.
He's planning to buy a bed before December 5.	Balak niyang bumili ng higaan bago mag ika-lima ng Disyembre.
Noon of November 18.	Tanghali ng ika-labinwalo ng Nobyembre.
Let’s meet on November 7.	Magkita tayo sa ika-pito ng Nobyembre.
November 11 is Monday.	Ang ika-labing-isa ng Nobyembre ay Lunes.
some kind of thing where our spirit goes up.	isang uring bagay kung saan ang ating espiritu ay aakyat.
into another person - that spirit of the Dalai.	na magkakatawang tao - na ang espiritu ay ang Dalai.
because he knoweth that he hath but a short.	sa pagkaalam niya na kaunting panahon na lamang mayroon siya.
It's sunny all month long except last December 21.	Umaraw buong buwan maliban noong ika-dalawampu't isa ng Disyembre.
It's sunny all month long except last September 15.	Umaraw buong buwan maliban noong ika-labinlima ng Septyembre.
He's planning to buy a bed before December 22.	Balak niyang bumili ng higaan bago mag ika-dalawampu't dalawa ng Disyembre.
Let’s meet on November 12.	Magkita tayo sa ika-labindalawa ng Nobyembre.
Yesterday is September 8.	Kahapon ay ika-siyam ng Septyembre.
He lost his money last December 29.	Nawala niya noong ika-dalawampu't siyam ng Disyembre ang kanyang pera.
going to live forever.	mabubuhay magpakailanman.
He lost his money last September 5.	Nawala niya noong ika-lima ng Septyembre ang kanyang pera.
Go here on October 13.	Pumunta ka dito sa ika-labintatlo ng Oktubre.
September 15 is Tuesday.	Ang ika-labinlima ng Septyembre ay Martes.
December 4 is Monday.	Ang ika-apat ng Disyembre ay Lunes.
I lost my nine shampoo at 10:00 AM.	Nawala ko ang aking siyam na shampoo noong alas diyes ng umaga.
December 25 is the day of his death.	Sa ika-dalawampu't lima ng Disyembre ang araw ng kanyang kamatayan.
They fought last September 16 because of money.	Nag-away sila noong ika-labing-anim ng Septyembre dahil sa pera.
It's sunny all month long except last November 1.	Umaraw buong buwan maliban noong ika-isa ng Nobyembre.
one world government accelerated.	gobyerno para sa buong mundo ay nai-angat.
That's why there are a lot of examples of.	Kaya maring halimbawang mga tao sa Bibliya na gumawa ng mga sobrang kasamaan.
I lost my thirty-nine mussels at 1:00 AM.	Nawala ko ang aking tatlumpu't-siyam na tahong noong ala una ng umaga.
Today is December 12.	Ngayon ay ika-labindalawa ng Disyembre.
He will go here on December 19.	Pupunta siya dito sa ika-labingsiyam ng Disyembre.
and take a stand for what I knew was true.	at manindigan sa kung ano ang alam kong totoo.
Are you going to the international airport later at 9:00 PM.	Pupunta ka ba sa alas nuwebe ng gabi mamayang internasyonal na paliparan.
Afternoon of September 12.	Hapon ng ika-labindalawa ng Septyembre.
Festival will only last until September 2.	Hanggang sa ika-dalawa nalang ng Septyembre ang piyesta.
Let’s meet on October 22.	Magkita tayo sa ika-dalawampu't dalawa ng Oktubre.
Today is September 26.	Ngayon ay ika-dalawampu't anim ng Septyembre.
From 12:00 PM to 5:00 AM.	Simula nang alas dose ng madaling araw hanggang alas singko ng umaga.
moon are darkened AFTER THE TRIBULATION.	buwan ay magdidilim PAGKATAPOS NG KAPIGHATIAN.
September 27 is Monday.	Ang ika-dalawampu't pito ng Septyembre ay Lunes.
He has been crying for thirty-five days at the next subway station.	tatlumpu't-limang araw na siyang umiiyak sa susunod na estasyon ng subway.
He will go here on November 21.	Pupunta siya dito sa ika-dalawampu't isa ng Nobyembre.
Yesterday is October 11.	Kahapon ay ika-labing-isa ng Oktubre.
Go here on October 5.	Pumunta ka dito sa ika-lima ng Oktubre.
December 7 is Monday.	Ang ika-pito ng Disyembre ay Lunes.
I grew up in a Christian.	Ako ay lumaki sa tahanang Kristyano.
He's planning to buy a bed before October 30.	Balak niyang bumili ng higaan bago mag ika-tatlumpu ng Oktubre.
It rained really hard last September 30.	Umulan ng malakas noong ika-tatlumpu ng Septyembre.
Did it rain last December 27.	Umulan ba noong ika-dalawampu't pito ng Disyembre.
Morning of October 1.	Umaga ng ika-isa ng Oktubre.
Are you going to the next ATM later at 5:00 PM.	Pupunta ka ba sa alas singko ng hapon mamayang susunod na ATM.
what people are saying.	kung ano ang sinasabi ng mga tao.
talking to all.	nagsasalita para sa lahat.
Yesterday is December 15.	Kahapon ay ika-labinlima ng Disyembre.
are standing on the word of God.	ay nakatayo sa salita ng Diyos.
If December 25 is Saturday,.	Kung Sabado ang ika-dalawampu't lima ng Disyembre,.
December 11 is Monday.	Ang ika-labing-isa ng Disyembre ay Lunes.
people would see the scriptures and see the.	makikita ng mga tao ang banal na kasulatan at makita nila ang mga katotohanan.
we know for certain: the surprise attack on.	ang natiyak namin: ang sorpresang pag-atake sa.
It is November 1 when.	Ika-isa ng Nobyembre noon nung.
September 24 is Wednesday.	Ang ika-dalawampu't apat ng Septyembre ay Miyerkules.
they come in.	ipapasok sila.
It will be November 5 next week.	ika-lima na ng Nobyembre sa susunod na linggo.
Tomorrow will be September 16.	ika-labing-anim ng Septyembre bukas.
He will go here on November 17.	Pupunta siya dito sa ika-labinpito ng Nobyembre.
He lost his money last October 29.	Nawala niya noong ika-dalawampu't siyam ng Oktubre ang kanyang pera.
The Christians will look at him as the second.	Ang mga Kristyano ay titignan siya bilang ikalawang pagdating ni kristo.
Pastor Anderson: Did he say.	Pastor Anderson: Sinabi ba niya.
At 1:00 PM, there are seven soccer at the nearest shopping mall.	Merong pitong soccer sa pinakamalapit na mall kaninang ala una ng hapon.
Are you going to the international airport later at 6:00 PM.	Pupunta ka ba sa alas sais ng hapon mamayang internasyonal na paliparan.
It will be December 14 next week.	ika-labing-apat na ng Disyembre sa susunod na linggo.
Are you going to the domestic airport later at 8:30 PM.	Pupunta ka ba sa alas otso e medya ng gabi mamayang paliparang lokal.
Today is December 15.	Ngayon ay ika-labinlima ng Disyembre.
any preacher try and tell you this is for.	ang sinumang nangangaral ay subukan at sabihin sa inyong ito ay para sa lahat ng mananampalataya.
November 21 will be Sunday because.	Linggo ang ika-dalawampu't isa ng Nobyembre dahil.
Is September 24 Friday.	Biyernes ba sa ika-dalawampu't apat ng Septyembre.
He will write a book until December 18.	Magsusulat siya ng libro hanggang sa ika-labinwalo ng Disyembre.
(Revelation 12:11) And they overcame him by.	(Rebelasyon 12:11) At siyay kanilang dinaig dahil sa dugo ng Cordero.
He will write a book until October 20.	Magsusulat siya ng libro hanggang sa ika-dalawampu ng Oktubre.
They fought last November 22 because of money.	Nag-away sila noong ika-dalawampu't dalawa ng Nobyembre dahil sa pera.
I lost my thirty-two daughter at 11:00 AM.	Nawala ko ang aking tatlumpu't-dalawang anak na babae noong alas onse ng umaga.
They fought last October 7 because of money.	Nag-away sila noong ika-pito ng Oktubre dahil sa pera.
(Revelation 12:9) And the great dragon was.	(Rebelasyon 12:9) At inihagis ang malaking dragon.
From 10:00 AM to 5:00 AM.	Simula nang alas diyes ng umaga hanggang alas singko ng umaga.
just write this passage off.	burahin na lamang nila ang siping ito.
Yesterday is October 27.	Kahapon ay ika-dalawampu't pito ng Oktubre.
After the Tribulation.	Matapos ang Kapighatian.
I could do to go to hell because I'm saved.	ako maaaring gawin upang mapunta sa impyerno dahil ako ay ligtas.
November 24 will be Sunday because.	Linggo ang ika-dalawampu't apat ng Nobyembre dahil.
Afternoon of November 8.	Hapon ng ika-siyam ng Nobyembre.
says it was given unto him to make war with.	sinasabi na iyon ay ibinigay sa kanya na siya ay makipag-digmaan sa mga banal at makita ito at magtagumpay sa.
Let’s meet on December 22.	Magkita tayo sa ika-dalawampu't dalawa ng Disyembre.
He has been tarrying for thirteen years at the next toilet.	labing-tatlong taon na siyang tumatambay sa susunod na palikuran.
September 4 is Thursday.	Ang ika-apat ng Septyembre ay Huwebes.
He has been eating for seventeen minutes at the next ATM.	labing-pitong minuto na siyang kumakain sa susunod na ATM.
They fought last December 18 because of money.	Nag-away sila noong ika-labinwalo ng Disyembre dahil sa pera.
to Walgreen's and get the mark of the beast.	pupuntahan ang WalgreenÃ¢Â™s at kukuha ng Marcos ng hayop.
his name.	kanyang pangalan.
If it's not yet November 29,.	Kung hindi pa ika-dalawampu't siyam ng Nobyembre,.
There will be warfare - an extreme amount.	May mga digmaan - sobrang daming digmaan.
In 1995.	Noong 1995.
because I did not make these things up.	ay dahil hindi ko inimbento lamang ang mga bagay na ito.
They fought last September 20 because of money.	Nag-away sila noong ika-dalawampu ng Septyembre dahil sa pera.
(Revelation 4:1) After this I looked.	(Rebelasyon 4:1) Pagkatapos ng mga bagay na ito ay tumingin ako.
December 23 is Wednesday.	Ang ika-dalawampu't tatlo ng Disyembre ay Miyerkules.
I wish tomorrow will be October 15.	Sana ika-labinlima na ng Oktubre bukas.
If October 29 is Saturday,.	Kung Sabado ang ika-dalawampu't siyam ng Oktubre,.
He sold his guitar last November 12.	Binenta niya ang kanyang gitara noong ika-labindalawa ng Nobyembre.
Afternoon of October 4.	Hapon ng ika-apat ng Oktubre.
He has been running for forty-six minutes at the grocery.	apatnapu't-anim na minuto na siyang tumatakbo sa tindahan.
they have been reading commentaries.	sila ay nagbabasa ng mga komentaryo.
born again.	isinilang muli.
He has been running for thirty-two hours at the grocery.	tatlumpu't-dalawang oras na siyang tumatakbo sa tindahan.
He will write a book until December 28.	Magsusulat siya ng libro hanggang sa ika-dalawampu't walo ng Disyembre.
Did it rain last September 29.	Umulan ba noong ika-dalawampu't siyam ng Septyembre.
dragon and the dragon fought and his angels.	sa dragon at ang dragon at ang kaniyang mga anghel ay nakipagbaka.
that is speaking and saying to John (singular.	na nagsasalita at nagsasabi kay Juan (pang-isahan.
It rained really hard last October 3.	Umulan ng malakas noong ika-tatlo ng Oktubre.
has to happen first.	ay dapat maganap muna.
It's already November 3!.	ika-tatlo na ng Nobyembre!.
Tomorrow will be October 26.	ika-dalawampu't anim ng Oktubre bukas.
September 3 is Thursday.	Ang ika-tatlo ng Septyembre ay Huwebes.
If September 1 is Saturday,.	Kung Sabado ang ika-isa ng Septyembre,.
when the sun and moon are darkened the Bible.	kapag nagdilim ang araw at buwan.
They are waiting for the Imam Mahdi.	Sila ay naghihintay para sa Imam Mahdi.
At 11:00 AM, there are twenty-nine rum at the nearest shopping mall.	Merong dalawampu't-siyam na ram sa pinakamalapit na mall kaninang alas onse ng umaga.
Noon of December 18.	Tanghali ng ika-labinwalo ng Disyembre.
October 21 will be Sunday because.	Linggo ang ika-dalawampu't isa ng Oktubre dahil.
It's sunny all month long except last November 25.	Umaraw buong buwan maliban noong ika-dalawampu't lima ng Nobyembre.
He will write a book until November 11.	Magsusulat siya ng libro hanggang sa ika-labing-isa ng Nobyembre.
and one of them refers to Jacob.	at isa sa mga ito ay tumutukoy kay Hacob.
that there is a messiah.	na may isang mesiyas.
It rained really hard last November 5.	Umulan ng malakas noong ika-lima ng Nobyembre.
Today is September 14.	Ngayon ay ika-labing-apat ng Septyembre.
September 26 is Thursday.	Ang ika-dalawampu't anim ng Septyembre ay Huwebes.
Comfort one another with these words.	Kayat mangagaliwan kayo sa isat isa ng mga salitang ito.
It's already November 19!.	ika-labingsiyam na ng Nobyembre!.
December 14 is Wednesday.	Ang ika-labing-apat ng Disyembre ay Miyerkules.
I lost my forty-eight shampoo at 12:00 PM.	Nawala ko ang aking apatnapu't-walong shampoo noong alas dose ng madaling araw.
He will go here on October 28.	Pupunta siya dito sa ika-dalawampu't walo ng Oktubre.
He will write a book until December 4.	Magsusulat siya ng libro hanggang sa ika-apat ng Disyembre.
Festival will only last until September 13.	Hanggang sa ika-labintatlo nalang ng Septyembre ang piyesta.
From 8:30 PM to 6:30 PM.	Simula nang alas otso e medya ng gabi hanggang alas sais e medya ng hapon.
He sold his guitar last November 3.	Binenta niya ang kanyang gitara noong ika-tatlo ng Nobyembre.
He will go here on October 25.	Pupunta siya dito sa ika-dalawampu't lima ng Oktubre.
